YEAR,ROUND,REGION,T1ID,T1SEED,T1SCORE,T1NAME,T1PTS,T1REB,T1AST,T1STL,T1BLK,T1TO,T1FG%,T1FT%,T13P%,T1W,T1L,T1HW,T1HL,T1AW,T1AL,T1BPI,T1SOS,T1SOR,T1REC,T1HREC,T1AREC,T2ID,T2SEED,T2SCORE,T2NAME,T2PTS,T2REB,T2AST,T2STL,T2BLK,T2TO,T2FG%,T2FT%,T23P%,T2W,T2L,T2HW,T2HL,T2AW,T2AL,T2BPI,T2SOS,T2SOR,T2REC,T2HREC,T2AREC,SEEDDIFF,BPIDIFF,SOSDIFF,SORDIFF,WINNER
2008,1.0,1.0,153,1,113,North Carolina Tar Heels,88.7,44.2,16.7,8.3,4.6,14.7,48.2,75.4,37.8,36,3,14,2,11,0,2,9,1,0.923,0.875,1.0,116,16,74,Mount St. Mary's Mountaineers,69.1,34.0,12.8,7.3,3.7,14.4,44.6,69.6,36.7,19,15,7,7,8,7,171,246,182,0.559,0.5,0.533,-15,-169,-237,-181,0
2008,1.0,1.0,2633,2,72,Tennessee Volunteers,83.0,38.1,18.2,9.3,3.4,12.8,46.1,65.6,36.2,31,5,14,0,11,2,9,19,5,0.861,1.0,0.846,44,15,57,American University Eagles,65.1,32.0,11.9,4.6,2.6,13.6,44.3,74.3,40.9,21,12,8,4,10,7,152,223,141,0.636,0.667,0.588,-13,-143,-204,-136,0
2008,1.0,1.0,97,3,79,Louisville Cardinals,71.9,37.8,14.8,8.1,4.9,13.3,45.3,65.5,34.2,27,9,13,2,8,3,10,14,12,0.75,0.867,0.727,68,14,61,Boise State Broncos,82.0,36.0,17.9,6.4,2.4,15.6,50.9,66.5,39.7,25,9,11,5,11,3,132,235,82,0.735,0.688,0.786,-11,-122,-221,-70,0
2008,1.0,1.0,265,4,71,Washington State Cougars,67.1,29.2,13.7,6.3,2.9,10.3,47.8,73.3,38.1,26,9,9,4,9,3,13,21,13,0.743,0.692,0.75,2737,13,40,Winthrop Eagles,65.6,35.6,13.0,8.5,3.7,13.1,44.2,59.5,37.2,22,12,11,3,5,6,81,129,90,0.647,0.786,0.455,-9,-68,-108,-77,0
2008,1.0,1.0,87,5,68,Notre Dame Fighting Irish,80.6,41.6,18.9,6.4,3.8,13.0,45.9,73.6,41.0,25,8,17,0,5,4,24,52,17,0.758,1.0,0.556,2244,12,50,George Mason Patriots,69.9,34.4,13.2,5.6,3.2,12.0,46.9,70.4,35.2,23,11,13,1,5,7,72,179,96,0.676,0.929,0.417,-7,-48,-127,-79,0
2008,1.0,1.0,201,6,72,Oklahoma Sooners,68.4,36.0,12.5,6.6,3.9,12.9,44.2,68.1,34.8,23,12,12,3,5,6,39,29,30,0.657,0.8,0.455,2603,11,64,Saint Joseph's Hawks,73.3,32.2,14.9,7.2,4.7,12.7,47.7,72.6,38.5,21,13,7,5,9,5,40,71,57,0.618,0.583,0.643,-5,-1,-42,-27,0
2008,1.0,1.0,2086,7,81,Butler Bulldogs,68.3,29.7,13.0,6.3,2.5,10.3,45.0,73.7,37.6,30,4,12,1,11,2,21,141,18,0.882,0.923,0.846,6,10,61,South Alabama Jaguars,75.5,37.3,15.7,6.1,3.0,13.8,47.5,71.2,36.6,26,7,15,0,7,4,76,227,55,0.788,1.0,0.636,-3,-55,-86,-37,0
2008,1.0,1.0,84,8,72,Indiana Hoosiers,75.1,38.0,13.2,7.0,3.8,13.7,46.3,76.3,34.6,25,8,14,2,7,3,20,67,23,0.758,0.875,0.7,8,9,86,Arkansas Razorbacks,73.6,36.8,14.5,7.0,5.3,15.5,46.6,67.2,33.9,23,12,15,1,3,7,36,54,36,0.657,0.938,0.3,-1,-16,13,-13,1
2008,1.0,2.0,2305,1,85,Kansas Jayhawks,81.5,38.9,18.6,9.0,6.2,12.9,50.5,70.2,39.8,37,3,18,0,8,3,1,46,2,0.925,1.0,0.727,2502,16,61,Portland State Vikings,74.3,34.3,15.9,7.0,3.3,14.6,46.7,67.6,39.4,23,10,11,1,9,7,116,200,103,0.697,0.917,0.562,-15,-115,-154,-101,0
2008,1.0,2.0,46,2,66,Georgetown Hoyas,69.7,35.0,15.7,7.1,4.9,13.2,48.6,66.5,38.0,28,6,16,0,8,4,6,32,8,0.824,1.0,0.667,2378,15,47,UMBC Retrievers,75.1,34.3,15.4,6.2,3.6,9.6,45.4,72.9,39.3,24,9,12,1,9,7,130,240,94,0.727,0.923,0.562,-13,-124,-208,-86,0
2008,1.0,2.0,275,3,71,Wisconsin Badgers,67.3,35.9,12.8,6.3,3.3,12.1,45.0,70.9,35.9,31,5,14,2,10,1,8,64,9,0.861,0.875,0.909,2239,14,56,CSU Fullerton Titans,82.6,36.1,15.6,9.0,1.6,13.5,47.6,70.6,38.6,24,9,11,3,9,4,93,225,86,0.727,0.786,0.692,-11,-85,-161,-77,0
2008,1.0,2.0,238,4,62,Vanderbilt Commodores,80.6,35.3,18.0,6.0,3.6,14.5,46.7,73.6,40.4,26,8,19,0,4,6,49,81,26,0.765,1.0,0.4,2561,13,83,Siena Saints,76.8,33.9,14.5,9.4,3.6,11.1,45.1,68.3,38.3,23,11,10,4,9,5,88,168,95,0.676,0.714,0.643,-9,-39,-87,-69,1
2008,1.0,2.0,228,5,69,Clemson Tigers,79.5,38.6,15.9,9.9,5.5,14.9,45.8,62.4,37.7,24,10,13,2,6,5,12,23,20,0.706,0.867,0.545,222,12,75,Villanova Wildcats,72.8,36.1,13.7,8.1,2.9,14.1,42.9,72.3,34.2,22,13,12,3,4,7,45,15,31,0.629,0.8,0.364,-7,-33,8,-11,1
