Year,Round,Region Number,Region Name,Seed,Score,Team1,Team2,Score,Seed,team1id,team2id
2008,1,1,East,1,113,North Carolina,Mount St Marys,74,16,153,116
2008,1,1,East,2,72,Tennessee,American,57,15,2633,44
2008,1,1,East,3,79,Louisville,Boise St,61,14,97,68
2008,1,1,East,4,71,Washington St,Winthrop,40,13,265,2737
2008,1,1,East,5,68,Notre Dame,George Mason,50,12,87,2244
2008,1,1,East,6,72,Oklahoma,St Josephs,64,11,201,2603
2008,1,1,East,7,81,Butler,South Alabama,61,10,2086,6
2008,1,1,East,8,72,Indiana,Arkansas,86,9,84,8
2008,1,2,Midwest,1,85,Kansas,Portland St,61,16,2305,2502
2008,1,2,Midwest,2,66,Georgetown,UMBC,47,15,46,2378
2008,1,2,Midwest,3,71,Wisconsin,Cal St Fullerton,56,14,275,2239
2008,1,2,Midwest,4,62,Vanderbilt,Siena,83,13,238,2561
2008,1,2,Midwest,5,69,Clemson,Villanova,75,12,228,222
2008,1,2,Midwest,6,67,USC,Kansas St,80,11,30,2306
2008,1,2,Midwest,7,76,Gonzaga,Davidson,82,10,2250,2166
2008,1,2,Midwest,8,71,UNLV,Kent St,58,9,2439,2309
2008,1,3,South,1,87,Memphis,Texas Arlington,63,16,235,250
2008,1,3,South,2,74,Texas,Austin Peay,54,15,251,2046
2008,1,3,South,3,77,Stanford,Cornell,53,14,24,172
2008,1,3,South,4,82,Pittsburgh,Oral Roberts,63,13,221,198
2008,1,3,South,5,72,Michigan St,Temple,61,12,127,218
2008,1,3,South,6,74,Marquette,Kentucky,66,11,269,96
2008,1,3,South,7,78,Miami,St Marys,64,10,2390,116
2008,1,3,South,8,76,Mississippi St,Oregon,69,9,344,2483
2008,1,4,West,1,70,UCLA,Mississippi Valley St,29,16,26,2400
2008,1,4,West,2,71,Duke,Belmont,70,15,150,2057
2008,1,4,West,3,73,Xavier,Georgia,61,14,2752,61
2008,1,4,West,4,69,Connecticut,San Diego,70,13,41,301
2008,1,4,West,5,99,Drake,Western Kentucky,101,12,2181,98
2008,1,4,West,6,90,Purdue,Baylor,79,11,2509,239
2008,1,4,West,7,75,West Virginia,Arizona,65,10,277,12
2008,1,4,West,8,62,BYU,Texas A&M,67,9,252,245
2008,2,1,East,1,108,North Carolina,Arkansas,77,9,153,8
2008,2,1,East,2,76,Tennessee,Butler,71,7,2633,2086
2008,2,1,East,3,78,Louisville,Oklahoma,48,6,97,201
2008,2,1,East,4,61,Washington St,Notre Dame,41,5,265,87
2008,2,2,Midwest,1,75,Kansas,UNLV,56,8,2305,2439
2008,2,2,Midwest,2,70,Georgetown,Davidson,74,10,46,2166
2008,2,2,Midwest,3,72,Wisconsin,Kansas St,55,11,275,2306
2008,2,2,Midwest,13,72,Siena,Villanova,84,12,2561,222
2008,2,3,South,1,77,Memphis,Mississippi St,74,8,235,344
2008,2,3,South,2,75,Texas,Miami,72,7,251,2390
2008,2,3,South,3,82,Stanford,Marquette,81,6,24,269
2008,2,3,South,4,54,Pittsburgh,Michigan St,65,5,221,127
2008,2,4,West,1,51,UCLA,Texas A&M,49,9,26,245
2008,2,4,West,2,67,Duke,West Virginia,73,7,150,277
2008,2,4,West,3,85,Xavier,Purdue,78,6,2752,2509
2008,2,4,West,13,63,San Diego,Western Kentucky,72,12,301,98
2008,3,1,East,1,68,North Carolina,Washington St,47,4,153,265
2008,3,1,East,2,60,Tennessee,Louisville,79,3,2633,97
2008,3,2,Midwest,1,72,Kansas,Villanova,57,12,2305,222
2008,3,2,Midwest,10,73,Davidson,Wisconsin,56,3,2166,275
2008,3,3,South,1,92,Memphis,Michigan St,74,5,235,127
2008,3,3,South,2,82,Texas,Stanford,62,3,251,24
2008,3,4,West,1,88,UCLA,Western Kentucky,78,12,26,98
2008,3,4,West,7,75,West Virginia,Xavier,79,3,277,2752
2008,4,1,East,1,83,North Carolina,Louisville,73,3,153,97
2008,4,2,Midwest,1,59,Kansas,Davidson,57,10,2305,2166
2008,4,3,South,1,85,Memphis,Texas,67,2,235,251
2008,4,4,West,1,76,UCLA,Xavier,57,3,26,2752
2008,5,1,Final Four,1,66,North Carolina,Kansas,84,1,153,2305
2008,5,2,Final Four,1,78,Memphis,UCLA,63,1,235,26
2008,6,1,Championship,1,75,Kansas,Memphis,68,1,2305,235
2009,1,1,Midwest,1,74,Louisville,Morehead St,54,16,97,2413
2009,1,1,Midwest,2,77,Michigan St,Robert Morris,62,15,127,2523
2009,1,1,Midwest,3,84,Kansas,North Dakota St,74,14,2305,2449
2009,1,1,Midwest,4,69,Wake Forest,Cleveland St,84,13,154,325
2009,1,1,Midwest,5,71,Utah,Arizona,84,12,251,12
2009,1,1,Midwest,6,60,West Virginia,Dayton,68,11,277,2168
2009,1,1,Midwest,7,55,Boston College,USC,72,10,103,30
2009,1,1,Midwest,8,72,Ohio St,Siena,74,9,194,2561
2009,1,2,West,1,103,Connecticut,Chattanooga,47,16,41,236
2009,1,2,West,2,81,Memphis,Cal St Northridge,70,15,235,2463
2009,1,2,West,3,78,Missouri,Cornell,59,14,142,172
2009,1,2,West,4,71,Washington,Mississippi St,58,13,264,344
2009,1,2,West,5,61,Purdue,Northern Iowa,56,12,2509,2460
2009,1,2,West,6,58,Marquette,Utah St,57,11,269,328
2009,1,2,West,7,71,California,Maryland,84,10,25,120
2009,1,2,West,8,66,BYU,Texas A&M,79,9,252,245
2009,1,3,East,1,72,Pittsburgh,East Tennessee St,62,16,221,2193
2009,1,3,East,2,85,Duke,Binghamton,62,15,150,2066
2009,1,3,East,3,80,Villanova,American,67,14,222,44
2009,1,3,East,4,77,Xavier,Portland St,59,13,2752,2502
2009,1,3,East,5,59,Florida St,Wisconsin,61,12,52,275
2009,1,3,East,6,65,UCLA,VCU,64,11,26,2670
2009,1,3,East,7,76,Texas,Minnesota,62,10,251,135
2009,1,3,East,8,77,Oklahoma St,Tennessee,75,9,197,2633
2009,1,4,South,1,101,North Carolina,Radford,58,16,153,2515
