T1ID,T1SEED,T1SCORE,T1NAME,T1PTS,T1REB,T1AST,T1STL,T1BLK,T1TO,T1FG%,T1FT%,T13P%,T1W,T1L,T1BPI,T1SOS,T1SOR,T1REC,T2ID,T2SEED,T2SCORE,T2NAME,T2PTS,T2REB,T2AST,T2STL,T2BLK,T2TO,T2FG%,T2FT%,T23P%,T2W,T2L,T2BPI,T2SOS,T2SOR,T2REC,SEEDDIFF,BPIDIFF,SOSDIFF,SORDIFF
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,333,06,0,Alabama Crimson Tide,80.0,40.0,14.6,7.0,4.7,14.6,44.1,73.0,30.8,19,13,21,1,27,0.594,7,81,274,86
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,12,01,0,Arizona Wildcats,84.6,41.4,19.9,6.7,5.7,13.2,49.6,73.8,35.4,31,3,3,73,2,0.912,12,99,202,111
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,8,04,0,Arkansas Razorbacks,76.9,38.2,14.1,7.7,4.2,12.6,44.0,75.3,30.7,25,8,20,47,16,0.758,9,82,228,97
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,2,02,0,Auburn Tigers,78.7,39.9,14.6,8.8,7.9,12.1,44.0,73.3,32.0,27,5,12,34,6,0.844,11,90,241,107
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,239,01,0,Baylor Bears,76.5,37.1,15.8,8.8,3.4,12.5,46.4,69.8,34.6,26,6,6,11,4,0.812,12,96,264,109
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,68,08,0,Boise State Broncos,68.7,35.0,11.5,5.9,3.5,12.1,44.8,64.9,34.8,27,7,56,102,36,0.794,5,46,173,77
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,2803,16,0,Bryant Bulldogs,77.9,41.5,14.1,6.3,4.5,13.9,43.7,73.3,30.8,22,9,169,288,125,0.71,-3,-67,-13,-12
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,236,13,0,Chattanooga Mocs,74.8,35.9,13.0,7.2,2.2,11.0,46.9,75.2,34.6,27,7,61,154,56,0.794,0,41,121,57
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,2142,14,0,Colgate Raiders,76.1,36.2,17.2,6.2,3.7,11.3,47.6,69.5,40.3,23,11,108,309,153,0.676,-1,-6,-34,-40
2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,36,06,0,Colorado State Rams,73.7,31.9,14.2,6.3,3.2,10.1,48.5,77.4,35.8,25,5,81,107,29,0.833,7,21,168,84
