T1ID,T1SEED,T1SCORE,T1NAME,T1PTS,T1REB,T1AST,T1STL,T1BLK,T1TO,T1FG%,T1FT%,T13P%,T1W,T1L,T1BPI,T1SOS,T1SOR,T1REC,T2ID,T2SEED,T2SCORE,T2NAME,T2PTS,T2REB,T2AST,T2STL,T2BLK,T2TO,T2FG%,T2FT%,T23P%,T2W,T2L,T2BPI,T2SOS,T2SOR,T2REC,SEEDDIFF,BPIDIFF,SOSDIFF,SORDIFF
2250,1,0,Gonzaga Bulldogs,87.8,41.5,18.2,6.7,5.9,11.8,52.7,73.0,37.9,26,3,1,80,7,0.897,2247,16,0,Georgia State Panthers,70.6,37.3,13.5,8.9,4.5,11.9,40.3,71.7,32.9,18,10,136,254,138,0.643,-15,-135,-174,-131
68,8,0,Boise State Broncos,68.7,35.0,11.5,5.9,3.5,12.1,44.8,64.9,34.8,27,7,56,102,36,0.794,235,9,0,Memphis Tigers,75.4,38.7,16.1,8.7,5.7,16.4,47.1,69.2,35.9,21,10,24,60,39,0.677,-1,32,42,-3
41,5,0,UConn Huskies,75.2,40.9,14.0,6.0,6.5,11.9,43.6,75.0,35.3,23,9,18,43,22,0.719,166,12,0,New Mexico State Aggies,73.3,38.5,13.9,5.1,4.2,14.0,45.7,69.8,32.6,26,6,117,226,68,0.812,-7,-99,-183,-46
8,4,0,Arkansas Razorbacks,76.9,38.2,14.1,7.7,4.2,12.6,44.0,75.3,30.7,25,8,20,47,16,0.758,261,13,0,Vermont Catamounts,74.9,35.1,15.2,5.2,2.5,9.7,49.3,74.7,36.4,28,5,37,314,71,0.848,-9,-17,-267,-55
333,6,0,Alabama Crimson Tide,80.0,40.0,14.6,7.0,4.7,14.6,44.1,73.0,30.8,19,13,21,1,27,0.594,87,11,0,Notre Dame Fighting Irish,72.5,34.1,14.2,5.1,1.9,10.3,46.2,75.8,38.0,22,10,49,63,38,0.688,-5,-28,-62,-11
2641,3,0,Texas Tech Red Raiders,71.7,36.5,13.6,8.2,3.5,13.9,47.0,69.9,31.4,25,9,13,13,12,0.735,147,14,0,Montana State Bobcats,77.0,35.4,13.2,5.2,3.7,12.8,47.5,75.3,36.9,27,7,163,354,112,0.794,-11,-150,-341,-100
127,7,0,Michigan State Spartans,72.1,37.1,15.8,5.8,5.1,13.1,45.7,74.7,37.8,22,12,32,8,23,0.647,2166,10,0,Davidson Wildcats,75.6,34.2,14.7,4.7,2.6,9.8,48.1,75.7,38.6,27,6,51,117,34,0.818,-3,-19,-109,-11
150,2,0,Duke Blue Devils,80.2,38.3,16.9,6.5,5.5,10.2,48.9,72.9,36.8,28,6,11,56,11,0.824,2239,15,0,CSU Fullerton Titans,70.3,33.5,11.3,7.3,2.0,12.3,44.7,76.3,33.0,21,10,173,321,149,0.677,-13,-162,-265,-138
239,1,0,Baylor Bears,76.5,37.1,15.8,8.8,3.4,12.5,46.4,69.8,34.6,26,6,6,11,4,0.812,2450,16,0,Norfolk State Spartans,75.1,38.8,12.6,6.7,3.7,14.0,46.6,69.8,34.8,24,6,135,358,119,0.8,-15,-129,-347,-115
153,8,0,North Carolina Tar Heels,77.5,39.8,14.8,5.4,3.8,11.7,45.3,77.2,36.2,24,9,26,45,19,0.727,269,9,0,Marquette Golden Eagles,74.4,34.7,16.0,7.9,5.1,12.5,45.3,74.7,34.7,19,12,54,31,44,0.613,-1,-28,14,-25
2608,5,0,Saint Mary's Gaels,69.8,33.8,13.4,7.0,2.6,11.3,46.3,76.2,35.0,25,7,22,78,24,0.781,84,12,0,Indiana Hoosiers,71.5,36.3,14.9,5.7,5.0,11.9,45.9,69.9,33.9,20,13,34,33,48,0.606,-7,-12,45,-24
26,4,0,UCLA Bruins,76.4,37.1,14.0,7.0,3.3,9.2,45.0,73.6,35.1,25,7,8,55,15,0.781,2006,13,0,Akron Zips,71.2,35.0,11.9,5.8,3.3,11.5,46.2,68.7,35.7,24,9,102,275,113,0.727,-9,-94,-220,-98
251,6,0,Texas Longhorns,68.3,33.6,13.0,7.7,3.4,11.8,44.2,74.9,32.3,21,11,17,20,25,0.656,259,11,0,Virginia Tech Hokies,70.7,32.2,14.4,5.4,3.2,10.8,47.1,74.3,39.3,23,12,19,58,42,0.657,-5,-2,-38,-17
2509,3,0,Purdue Boilermakers,79.8,38.6,16.6,4.6,3.5,11.7,49.3,70.3,39.1,27,7,10,25,9,0.794,43,14,0,Yale Bulldogs,72.3,36.0,11.9,6.2,3.2,12.9,44.4,73.9,33.0,19,11,151,175,129,0.633,-11,-141,-150,-120
93,7,0,Murray State Racers,79.3,39.2,14.7,7.9,3.1,11.4,47.9,69.4,35.3,30,2,30,266,21,0.938,2539,10,0,San Francisco Dons,77.1,38.0,13.1,7.7,4.6,12.9,45.7,69.6,35.4,24,9,31,92,50,0.727,-3,-1,174,-29
96,2,0,Kentucky Wildcats,79.5,40.3,16.1,6.8,4.2,11.6,48.4,73.0,34.9,26,7,4,17,5,0.788,2612,15,0,Saint Peter's Peacocks,66.9,36.2,12.2,7.3,4.9,13.9,43.1,68.3,35.3,19,11,113,196,127,0.633,-13,-109,-179,-122
12,1,0,Arizona Wildcats,84.6,41.4,19.9,6.7,5.7,13.2,49.6,73.8,35.4,31,3,3,73,2,0.912,2803,16,0,Bryant Bulldogs,77.9,41.5,14.1,6.3,4.5,13.9,43.7,73.3,30.8,22,9,169,288,125,0.71,-15,-166,-215,-123
2550,8,0,Seton Hall Pirates,72.9,38.9,10.4,7.0,5.5,12.0,42.3,75.7,34.0,21,10,36,44,31,0.677,2628,9,0,TCU Horned Frogs,68.1,38.8,13.6,6.3,4.2,14.5,44.1,66.8,30.4,20,12,45,9,28,0.625,-1,-9,35,3
248,5,0,Houston Cougars,75.8,39.2,16.7,8.2,5.2,11.3,46.9,66.9,34.1,29,5,2,87,14,0.853,5,12,0,UAB Blazers,80.7,38.4,13.0,9.6,4.3,11.5,46.8,73.8,37.9,27,7,47,195,66,0.794,-7,-45,-108,-52
356,4,0,Illinois Fighting Illini,75.8,38.6,15.4,5.2,3.0,12.2,45.3,70.8,36.7,22,9,16,18,18,0.71,236,13,0,Chattanooga Mocs,74.8,35.9,13.0,7.2,2.2,11.0,46.9,75.2,34.6,27,7,61,154,56,0.794,-9,-45,-136,-38
36,6,0,Colorado State Rams,73.7,31.9,14.2,6.3,3.2,10.1,48.5,77.4,35.8,25,5,81,107,29,0.833,130,11,0,Michigan Wolverines,73.0,35.5,14.2,4.8,3.1,11.5,46.8,74.6,34.0,17,14,29,4,45,0.548,-5,52,103,-16
2633,3,0,Tennessee Volunteers,73.2,37.2,16.1,9.3,4.4,12.4,43.0,71.2,35.9,26,7,5,2,3,0.788,2344,14,0,Longwood Lancers,76.3,37.3,14.0,7.8,2.4,12.0,45.4,72.4,38.0,26,6,129,352,102,0.812,-11,-124,-350,-99
